"ID","preco","nrQuartos","nrWC","Sala_estar_m2","lote_m2","nrAndares","vista","condicao","piso_m2","arrecadacao_m2","Ano_construcao","Ano_renovacao"
"70","365000","3","  2.50 ","51","662","  1.00 ","0","5","141","210","1988","0"
"71","331950","4","  2.50 ","59","894","  2.00 ","2","3","181","173","1990","2009"
"72","783500","3","  2.50 ","66","642","  2.00 ","0","3","179","287","1980","0"
"73","628000","4","  2.00 ","53","541","  1.00 ","0","3","103","380","1900","2005"
"74","560000","3","  2.50 ","44","787","  2.00 ","0","3","171","0","1987","2000"
"75","900000","3","  1.00 ","31","7017","  1.00 ","0","3","120","0","1928","1954"
"77","831000","4","  3.00 ","50","360","  2.00 ","0","4","145","187","1982","2011"
"78","780000","4","  2.50 ","63","925","  2.00 ","2","3","246","0","1996","0"
"80","705380","3","  2.50 ","58","391","  2.00 ","0","3","224","0","2003","0"
"81","627000","4","  2.25 ","46","694","  1.00 ","0","3","109","260","1973","2013"
"82","865000","4","  3.00 ","86","890","  2.00 ","0","3","332","0","1998","2006"
"83","580000","2","  1.00 ","59","630","  1.00 ","0","5","119","407","1942","0"
"84","410000","3","  2.25 ","42","3303","  1.00 ","0","4","122","147","1978","2000"
"85","485000","4","  3.00 ","54","634","  1.00 ","0","4","121","333","1979","0"
"87","549000","2","  1.00 ","26","486","  1.00 ","0","5","103","0","1908","0"
"88","620000","3","  1.75 ","34","197","  2.50 ","0","3","133","0","2005","0"
"89","405000","2","  3.00 ","33","112","  2.00 ","0","3","103","90","2006","0"
"90","232000","2","  1.00 ","28","726","  1.00 ","0","4","108","0","1958","1972"
"91","800866","5","  2.50 ","74","1243","  2.00 ","0","4","286","0","1990","0"
"92","650000","3","  1.50 ","50","810","  1.00 ","2","4","126","253","1949","1985"
"93","823000","6","  1.75 ","68","450","  2.50 ","0","4","250","47","1908","0"
"94","770000","3","  2.00 ","55","513","  1.50 ","0","4","163","180","1939","1989"
"95","524000","3","  1.75 ","36","497","  1.00 ","0","4","70","260","1944","0"
"96","541125","5","  2.75 ","64","758","  1.00 ","0","4","123","457","1960","2001"
"97","670000","3","  2.50 ","39","180","  3.00 ","0","3","151","0","1909","1998"
"98","384900","5","  2.50 ","72","1148","  1.00 ","0","3","158","447","1968","1997"
"99","406100","3","  2.25 ","33","120","  3.00 ","0","3","127","0","2005","0"
"100","1395000","5","  3.50 ","93","766","  2.00 ","1","5","257","387","1971","0"
"101","736500","4","  2.50 ","74","1971","  2.00 ","3","3","286","0","2000","0"
"103","787000","3","  1.75 ","31","675","  1.00 ","0","3","120","0","1961","2004"
"104","328000","4","  2.50 ","55","585","  2.00 ","0","3","213","0","1998","2006"
"105","435000","5","  2.00 ","43","832","  1.00 ","0","4","139","100","1942","1958"
"106","499000","4","  2.50 ","68","583","  2.00 ","0","3","262","0","2006","0"
"107","501000","4","  1.00 ","48","677","  1.00 ","0","3","104","303","1963","2008"
"108","1090000","4","  2.50 ","101","12741","  2.50 ","0","3","391","0","1992","0"
"109","400000","2","  1.00 ","20","496","  1.00 ","0","3","76","0","1955","2005"
"110","220000","4","  1.50 ","29","864","  1.00 ","0","3","112","0","1971","0"
"111","657100","4","  1.00 ","32","382","  1.00 ","0","3","95","113","1924","2011"
"112","309950","4","  2.75 ","54","450","  2.00 ","0","3","208","0","2006","0"
"113","300000","3","  2.00 ","24","906","  1.00 ","0","3","95","0","1986","0"
"114","525888","5","  1.75 ","59","6469","  1.00 ","0","5","163","247","1960","0"
"115","740000","4","  1.75 ","47","324","  1.50 ","0","3","181","0","1902","0"
"116","340000","5","  1.00 ","26","812","  1.50 ","0","4","101","0","1962","0"
"117","398750","3","  2.50 ","52","360","  2.00 ","0","3","201","0","1954","2005"
"118","206000","2","  1.00 ","19","644","  1.00 ","0","5","73","0","1944","0"
"119","1030000","5","  2.75 ","74","1523","  1.00 ","3","3","152","500","1976","0"
"120","600000","3","  1.75 ","39","3568","  1.00 ","0","4","150","0","1976","1992"
"121","379950","4","  1.75 ","46","845","  1.00 ","0","5","103","277","1960","0"
"122","287000","3","  1.00 ","34","540","  1.00 ","0","4","131","0","1953","1983"
"123","2280000","7","  8.00 ","314","27698","  3.00 ","4","3","847","1377","1999","0"
"124","309950","3","  2.50 ","44","705","  2.00 ","0","3","169","0","1994","0"
"125","600000","3","  1.75 ","44","572","  1.00 ","0","4","94","280","1945","0"
"126","418000","3","  2.00 ","33","543","  1.50 ","0","4","127","0","1930","0"
"127","449250","4","  2.00 ","34","346","  1.50 ","0","5","133","0","1928","1970"
"128","329950","2","  1.00 ","26","473","  1.50 ","0","4","103","0","1949","1985"
"129","245000","3","  1.75 ","45","838","  1.00 ","0","3","90","307","1984","0"
"130","549000","4","  2.50 ","68","570","  2.00 ","0","3","262","0","2008","0"
"132","249950","3","  2.00 ","36","1354","  1.00 ","0","4","140","0","1958","1972"
"133","210000","5","  2.00 ","48","918","  1.00 ","0","3","129","207","1956","2001"
"134","1425000","2","  2.50 ","52","360","  2.00 ","0","3","200","0","2000","0"
"135","585000","2","  1.00 ","41","778","  1.50 ","0","3","137","83","1949","1998"
"136","615000","4","  1.75 ","53","1053","  1.00 ","0","4","176","113","1977","0"
"137","618500","3","  2.00 ","42","450","  1.00 ","0","4","97","240","1942","1982"
"138","487585","4","  1.75 ","47","829","  1.00 ","0","3","132","180","1977","2004"
"139","509900","3","  2.50 ","42","243","  2.00 ","0","3","161","0","2010","0"
"140","631625","4","  2.50 ","57","599","  2.00 ","0","3","220","0","2014","0"
"141","555000","3","  2.50 ","45","289","  2.00 ","0","3","175","0","2009","0"
"142","340000","2","  1.50 ","27","129","  2.00 ","0","3","104","0","2001","0"
"143","830000","4","  2.50 ","79","872","  2.00 ","0","3","306","0","2007","0"
"144","890000","4","  4.25 ","103","518","  2.00 ","0","3","307","337","2006","0"
"145","366750","3","  3.00 ","37","182","  3.00 ","0","3","141","0","2008","0"
"146","415000","3","  2.25 ","38","90","  2.50 ","0","3","139","27","2010","0"
"147","416286","3","  2.50 ","33","89","  3.00 ","0","3","127","0","2005","0"
"148","478000","3","  2.50 ","71","408","  2.00 ","0","3","274","0","2007","0"
"149","890000","5","  3.50 ","104","540","  2.00 ","0","3","288","430","2006","0"
"150","419190","2","  2.50 ","37","128","  2.00 ","0","3","143","0","2014","0"
"151","712198","4","  2.50 ","57","382","  2.00 ","0","3","221","0","2013","1923"
"152","397000","4","  2.00 ","33","691","  1.00 ","0","3","108","80","1971","0"
"154","353000","3","  1.00 ","31","697","  1.00 ","0","4","77","163","1947","1988"
"155","609000","4","  2.50 ","50","3418","  2.00 ","0","3","194","0","1985","0"
"157","561000","3","  2.00 ","46","630","  2.00 ","0","3","180","0","1916","1986"
"158","469000","2","  1.00 ","24","396","  1.00 ","0","3","93","0","1924","2011"
"159","329350","2","  1.00 ","17","602","  1.00 ","0","3","65","0","1942","1999"
"160","488000","5","  2.00 ","47","450","  1.50 ","0","4","182","0","1938","0"
"161","279900","3","  1.75 ","37","734","  1.00 ","1","4","99","160","1962","0"
"162","606000","4","  2.50 ","49","1247","  2.00 ","0","3","190","0","1987","2000"
"163","312000","4","  2.00 ","30","635","  1.00 ","0","3","117","0","1950","2013"
"165","1135000","4","  2.75 ","78","729","  1.00 ","3","3","177","467","1970","2014"
"167","425000","4","  2.00 ","35","718","  1.00 ","0","5","137","0","1967","0"
"168","219000","2","  1.00 ","21","464","  1.00 ","0","3","81","0","1952","2008"
"169","250000","3","  1.00 ","24","619","  1.00 ","0","3","95","0","1954","2005"
"170","390000","3","  1.75 ","29","585","  1.00 ","0","4","113","0","1966","0"
"171","475000","6","  3.00 ","81","10585","  1.50 ","0","3","312","0","1924","2011"
"172","736000","4","  2.50 ","53","1084","  2.00 ","0","4","206","0","1988","0"
"173","407000","4","  2.25 ","65","2106","  1.00 ","1","3","154","367","1958","2004"
"174","272000","3","  2.50 ","38","1243","  2.00 ","0","3","149","0","1998","2006"
"175","362000","3","  2.25 ","38","1294","  1.00 ","0","4","103","167","1963","0"
"177","284000","4","  2.50 ","46","485","  2.00 ","0","3","180","0","2003","0"
"178","367500","3","  1.50 ","33","868","  1.00 ","0","3","127","0","1961","2004"
"179","379900","4","  1.75 ","35","1044","  1.00 ","0","4","90","167","1955","2009"
"180","520000","3","  2.50 ","57","4940","  2.00 ","0","4","221","0","1980","0"
"181","175000","3","  1.00 ","23","633","  1.00 ","0","3","91","0","1954","2005"
"182","460000","2","  2.25 ","29","84","  2.00 ","0","3","92","70","2004","2003"
"183","345000","4","  2.50 ","54","344","  2.00 ","0","3","210","0","2007","0"
"184","455000","5","  2.50 ","52","699","  1.00 ","0","3","121","300","1978","0"
"185","610000","4","  3.00 ","57","911","  1.00 ","0","5","142","290","1967","0"
"186","563000","4","  3.00 ","72","1393","  2.00 ","0","3","216","233","1996","0"
"187","612500","4","  2.00 ","48","450","  1.00 ","0","3","93","343","1949","2013"
"189","404000","4","  1.75 ","43","965","  1.00 ","0","3","86","293","1958","2004"
"190","860000","4","  2.00 ","87","2918","  2.00 ","0","3","337","0","2000","0"
"191","136500","3","  1.50 ","33","772","  1.00 ","0","3","128","0","1962","2003"
"192","313950","3","  1.00 ","35","547","  1.00 ","0","4","77","217","1940","2001"
"193","575000","3","  1.75 ","49","585","  1.00 ","2","3","105","320","1954","2005"
"194","1225000","4","  2.25 ","81","622","  2.00 ","0","4","205","403","1928","0"
"196","515000","3","  2.50 ","42","645","  2.00 ","0","3","161","0","1989","0"
"197","513000","4","  2.50 ","46","512","  2.00 ","0","3","180","0","1996","0"
"200","365000","3","  1.50 ","30","734","  1.00 ","0","3","118","0","1950","2005"
"201","762300","4","  2.50 ","90","1310","  2.00 ","0","3","349","0","1987","2000"
"203","562000","5","  2.25 ","71","730","  2.00 ","0","3","274","0","1984","0"
"204","530000","5","  2.50 ","68","867","  1.00 ","0","4","152","407","1964","0"
"205","525000","3","  2.50 ","69","1079","  1.00 ","0","3","159","400","1995","0"
"207","725126","4","  2.50 ","74","1113","  2.00 ","0","3","288","0","1998","2006"
"208","360000","4","  2.00 ","62","1689","  1.00 ","0","5","241","0","1965","0"
"209","387000","3","  1.00 ","29","861","  1.00 ","0","5","111","0","1962","0"
"210","483500","4","  2.50 ","64","4116","  2.00 ","0","3","247","0","1995","0"
"211","655500","4","  3.50 ","79","750","  2.00 ","0","3","304","0","2000","0"
"212","345000","3","  1.00 ","26","563","  1.00 ","0","3","100","0","1956","2001"
"213","533000","5","  2.75 ","42","340","  1.50 ","0","3","126","133","1926","2003"
"214","385000","3","  1.75 ","44","497","  1.00 ","0","3","115","207","1982","0"
"215","675000","2","  1.00 ","22","3283","  1.00 ","2","3","84","0","1951","1994"
"216","197000","3","  1.75 ","39","696","  1.00 ","0","4","95","210","1976","1992"
"217","485000","3","  2.00 ","33","367","  1.50 ","0","3","128","0","1905","2013"
"218","1870000","5","  4.00 ","105","1366","  2.00 ","0","3","406","0","1969","2002"
"220","499000","2","  1.75 ","27","216","  1.00 ","0","4","67","143","1903","0"
"221","1050000","3","  2.50 ","51","177","  2.00 ","0","3","145","197","2008","0"
"222","191000","3","  1.50 ","19","797","  1.00 ","0","4","72","0","1959","0"
"223","500000","3","  2.50 ","34","105","  3.00 ","0","3","133","0","2006","0"
"224","390000","5","  3.75 ","67","450","  1.00 ","0","3","118","527","2006","0"
"225","979000","3","  2.50 ","62","364","  3.00 ","0","3","242","0","2014","0"
"226","580000","4","  3.25 ","83","749","  2.00 ","0","3","321","0","2013","1923"
"227","369950","3","  2.00 ","30","119","  3.00 ","0","3","114","0","2006","0"
"228","1800000","5","  5.00 ","104","925","  2.00 ","0","3","354","187","2013","1923"
"229","776000","4","  2.50 ","71","578","  2.00 ","0","3","274","0","2008","0"
"230","519950","3","  2.25 ","27","112","  3.00 ","0","3","105","0","2014","0"
"231","255000","5","  2.25 ","48","777","  1.00 ","0","3","93","343","1962","2003"
"232","495000","3","  1.00 ","23","540","  1.00 ","0","3","89","0","1943","2002"
"233","510000","4","  2.50 ","56","468","  2.00 ","0","3","219","0","2003","0"
"234","1150000","4","  4.00 ","104","9304","  2.00 ","0","3","401","0","2001","0"
"235","253000","3","  1.75 ","29","911","  1.00 ","0","3","113","0","1994","0"
"236","503000","3","  2.75 ","36","608","  1.00 ","0","5","109","110","1980","0"
"237","275000","3","  2.50 ","37","630","  2.00 ","0","4","144","0","1993","0"
"238","249000","3","  1.00 ","26","758","  1.00 ","0","3","100","0","1952","2008"
"239","310000","3","  1.75 ","43","965","  1.00 ","0","4","110","207","1974","0"
"241","630000","3","  2.50 ","62","29442","  2.00 ","0","3","241","0","1995","0"
"242","599999","9","  4.50 ","89","629","  2.50 ","0","3","221","460","1938","2003"
"243","758000","4","  2.75 ","56","859","  1.00 ","0","4","160","210","1956","0"
"244","248500","4","  1.75 ","40","902","  1.00 ","0","5","155","0","1960","0"
"245","310000","3","  1.75 ","48","3411","  1.00 ","0","4","128","217","1973","0"
"246","460000","3","  2.00 ","41","815","  2.00 ","0","4","158","0","1985","0"
"247","675000","3","  1.75 ","39","945","  1.00 ","0","4","151","0","1959","0"
"248","526000","2","  2.00 ","36","216","  1.50 ","0","4","140","0","1900","1971"
"250","415000","4","  3.00 ","43","859","  2.00 ","0","3","165","0","1991","0"
"251","246000","3","  1.00 ","33","667","  1.00 ","0","3","126","0","1944","0"
"252","314500","3","  1.75 ","43","1114","  1.00 ","0","4","168","0","1957","2001"
"253","3200000","7","  4.50 ","144","797","  2.50 ","2","5","428","483","1910","0"
"254","420000","2","  1.50 ","24","315","  1.50 ","0","4","94","0","1904","0"
"255","535000","3","  1.75 ","63","13447","  1.50 ","0","3","245","0","1988","2000"
"256","350000","3","  1.00 ","23","842","  1.00 ","0","3","91","0","1981","2013"
"257","515000","3","  1.75 ","37","823","  1.00 ","1","4","109","123","1967","0"
"258","749950","4","  2.75 ","60","545","  2.00 ","0","5","176","213","1949","0"
"259","230000","3","  2.50 ","45","826","  2.00 ","0","3","173","0","1988","2000"
"260","568000","3","  2.00 ","55","457","  1.50 ","0","3","160","190","1929","0"
"261","250000","1","  1.00 ","26","394","  1.00 ","0","2","74","93","1947","0"
"262","581000","4","  2.00 ","58","1233","  1.00 ","0","4","115","410","1961","2001"
"263","651000","3","  2.50 ","75","9753","  2.00 ","0","4","292","0","1991","0"
"264","600000","3","  2.50 ","57","9801","  1.00 ","0","4","167","200","1977","0"
"265","500000","2","  1.00 ","23","350","  1.50 ","0","4","91","0","1906","1990"
"266","475000","2","  1.00 ","19","245","  1.00 ","0","3","74","0","1921","2000"
"267","352000","5","  2.50 ","56","770","  1.00 ","2","3","146","267","1978","0"
"268","420000","3","  2.25 ","41","735","  2.00 ","0","3","159","0","1977","2004"
"269","428000","2","  2.00 ","31","351","  1.00 ","0","3","122","0","2003","0"
"270","599000","3","  1.75 ","46","431","  1.00 ","0","4","98","290","1920","0"
"271","492000","4","  2.50 ","77","1455","  1.50 ","0","5","202","353","1922","1956"
"273","900000","5","  3.75 ","96","20347","  2.00 ","0","3","285","320","1985","0"
"274","1110000","4","  1.50 ","54","1197","  1.00 ","0","3","170","140","1950","2005"
"275","575000","4","  2.00 ","38","450","  1.00 ","0","3","149","0","1955","2005"
"276","705000","4","  2.50 ","62","388","  1.50 ","0","3","137","377","1905","2013"
"277","940000","4","  2.25 ","44","535","  1.00 ","1","3","132","140","1963","2008"
"279","618080","3","  2.50 ","47","585","  2.00 ","0","3","183","0","1988","2000"
"280","640000","3","  3.00 ","53","466","  2.00 ","0","3","192","47","2002","0"
"281","485000","3","  2.00 ","37","374","  1.00 ","0","4","91","200","1917","0"
"282","300000","2","  1.00 ","18","270","  1.00 ","0","3","68","0","1913","1983"
"283","379500","2","  1.00 ","38","1560","  1.00 ","0","3","76","267","1978","0"
"284","339950","3","  2.25 ","38","1107","  2.00 ","0","4","147","0","1985","0"
"286","1340000","3","  3.00 ","69","495","  2.00 ","2","3","220","173","1937","1990"
"287","500000","3","  2.50 ","45","3381","  1.00 ","0","4","175","0","1987","0"
"288","239900","3","  2.00 ","33","681","  1.00 ","0","3","127","0","1985","0"
"289","314950","3","  1.00 ","24","1529","  1.00 ","0","4","94","0","1968","0"
"291","100000","2","  1.00 ","21","1980","  1.00 ","0","3","82","0","1956","2001"
"293","480500","4","  2.50 ","51","1008","  1.00 ","0","4","196","0","1968","0"
"294","280000","3","  2.50 ","37","384","  2.00 ","0","3","144","0","2000","0"
"295","440000","3","  1.75 ","35","556","  1.00 ","0","4","95","147","1947","1988"
"296","530000","3","  1.00 ","31","386","  1.00 ","0","3","97","87","1910","2006"
"298","775000","3","  2.00 ","59","648","  1.50 ","3","4","144","313","1905","0"
"299","160000","2","  1.00 ","24","1179","  1.00 ","0","5","94","0","1912","0"
"300","209950","3","  1.50 ","32","1002","  1.00 ","0","3","124","0","1960","2012"
"302","380000","5","  1.75 ","70","540","  1.00 ","0","5","135","500","1958","0"
"303","409500","4","  2.75 ","50","1170","  1.00 ","0","3","119","273","1968","1997"
"304","690000","3","  2.00 ","41","579","  1.00 ","0","4","88","260","1942","1982"
"305","405000","3","  2.25 ","39","748","  1.00 ","0","4","149","0","1961","2001"
"307","794154","4","  2.00 ","51","770","  1.00 ","1","4","109","333","1954","1979"
"308","185000","4","  1.00 ","35","594","  1.00 ","0","3","134","0","1969","2010"
"309","245000","3","  1.50 ","29","114","  2.00 ","0","3","94","73","2005","0"
"310","1532500","5","  4.50 ","99","727","  2.00 ","0","3","306","290","2007","0"
"311","1040000","4","  3.50 ","91","755","  2.00 ","0","3","351","0","2006","0"
"313","495000","4","  2.75 ","62","1908","  2.00 ","0","3","239","0","2014","0"
"314","365000","5","  2.75 ","56","450","  1.00 ","0","3","127","333","2008","0"
"315","417250","3","  2.25 ","37","131","  3.00 ","0","3","145","0","2009","0"
"316","339950","2","  1.00 ","19","61","  3.00 ","0","3","74","0","2006","0"
"317","615000","2","  1.00 ","36","618","  1.00 ","0","4","74","240","1946","1989"
"318","403000","3","  2.75 ","49","752","  2.00 ","0","3","188","0","2012","1912"
"319","980000","5","  2.50 ","73","1032","  1.00 ","0","4","160","460","1971","0"
"320","258000","4","  1.75 ","40","749","  1.00 ","0","3","111","167","1977","2004"
"321","533000","3","  1.00 ","39","367","  1.00 ","0","3","105","167","1967","2011"
"322","537500","4","  2.50 ","59","417","  2.00 ","0","3","230","0","2005","0"
"323","830000","5","  3.00 ","71","864","  1.00 ","0","5","177","357","1968","0"
"324","712000","3","  1.00 ","29","416","  1.50 ","0","4","104","33","1900","1971"
"325","262000","4","  2.50 ","47","561","  2.00 ","0","3","182","0","2002","0"
"326","753888","4","  2.50 ","62","495","  2.00 ","2","3","239","0","2003","0"
"327","134000","2","  1.50 ","23","450","  2.00 ","0","3","88","0","1922","2003"
"328","402000","3","  2.50 ","46","720","  1.00 ","0","4","116","223","1977","0"
"329","205000","2","  1.00 ","17","454","  1.00 ","0","3","65","0","1955","2005"
"330","553650","2","  2.50 ","32","121","  2.00 ","0","3","95","103","1997","0"
"331","559950","2","  2.00 ","43","446","  1.00 ","0","3","168","0","2006","0"
"332","260000","4","  1.50 ","49","792","  1.00 ","0","3","99","343","1962","2003"
"333","270000","4","  2.50 ","42","586","  2.00 ","0","3","163","0","1994","0"
"334","295000","2","  1.75 ","51","8037","  1.00 ","0","3","99","367","1973","2013"
"335","719000","3","  2.50 ","39","405","  1.50 ","1","4","152","0","1928","0"
"336","266000","3","  2.50 ","45","769","  1.00 ","0","3","131","160","1989","0"
"337","325900","4","  2.50 ","54","564","  2.00 ","0","3","209","0","2004","2003"
"338","647500","4","  1.75 ","48","2343","  1.00 ","0","4","104","300","1947","1988"
"339","1039000","4","  1.00 ","79","450","  2.00 ","0","5","197","407","1910","0"
"340","569000","4","  2.25 ","52","3752","  2.00 ","0","3","203","0","1980","0"
"341","246000","3","  1.75 ","32","666","  1.00 ","0","4","125","0","1975","0"
"342","515000","2","  1.00 ","25","446","  1.00 ","0","3","95","0","1926","2003"
"343","207000","3","  1.00 ","35","810","  1.00 ","0","4","134","0","1954","1979"
"344","780000","4","  1.75 ","58","828","  1.00 ","0","3","125","363","1950","2005"
"345","489990","5","  2.25 ","57","1875","  1.50 ","0","4","220","0","1975","0"
"346","335000","3","  1.50 ","52","7886","  1.50 ","0","2","133","253","1980","0"
"347","295000","3","  2.50 ","45","651","  2.00 ","0","3","173","0","1993","0"
"348","385000","3","  1.75 ","44","893","  1.00 ","0","3","111","220","1944","0"
"349","350000","4","  1.75 ","52","1216","  1.00 ","0","4","194","33","1940","2001"
"350","235000","2","  1.00 ","30","271","  1.00 ","0","4","59","207","1923","0"
"351","358000","2","  1.50 ","22","163","  2.00 ","0","3","86","0","1993","0"
"352","716500","4","  2.50 ","76","582","  2.00 ","0","3","296","0","2002","0"
"353","228000","4","  1.75 ","46","551","  1.00 ","0","3","99","300","1965","1993"
"354","405000","2","  1.00 ","24","734","  1.00 ","0","4","92","0","1948","0"
"355","538000","4","  1.75 ","43","864","  1.00 ","0","3","110","207","1967","2011"
"356","530000","3","  1.75 ","46","608","  1.00 ","0","4","178","0","1973","0"
"357","1750000","6","  3.00 ","82","518","  2.50 ","0","4","316","0","1906","1990"
"358","636000","2","  1.75 ","29","324","  1.50 ","0","5","111","0","1925","0"
"359","535000","4","  2.50 ","53","5925","  2.00 ","0","3","205","0","2004","2003"
"360","1500000","3","  1.75 ","56","1148","  1.00 ","2","4","121","363","1952","0"
"361","868500","3","  2.50 ","68","355","  3.00 ","0","3","263","0","2008","0"
"362","530000","4","  2.75 ","53","257","  1.50 ","0","4","139","247","1930","0"
"363","450000","3","  2.00 ","35","3920","  1.00 ","0","3","136","0","1954","2005"
"364","230000","3","  1.75 ","22","540","  1.00 ","0","3","71","53","1939","1969"
"365","229000","3","  2.50 ","28","270","  2.00 ","0","3","107","0","2002","0"
"367","1307000","5","  3.25 ","65","288","  1.50 ","0","5","172","297","1932","2002"
"369","660000","3","  1.75 ","31","518","  1.50 ","0","5","119","0","1918","0"
"370","347500","4","  2.50 ","57","662","  2.00 ","0","3","221","0","1989","0"
"371","297950","3","  2.00 ","29","972","  1.00 ","0","3","112","0","1967","2010"
"372","245000","3","  1.50 ","29","717","  1.00 ","0","4","113","0","1955","2009"
"373","543200","6","  2.25 ","66","1404","  1.50 ","2","5","177","283","1940","0"
"374","1250000","4","  3.25 ","89","2175","  2.00 ","1","4","298","170","1990","0"
"375","413450","3","  2.50 ","36","145","  3.00 ","0","3","132","23","2008","0"
"376","330000","2","  2.00 ","36","39204","  1.50 ","0","2","140","0","1972","0"
"377","424500","3","  1.75 ","34","693","  1.00 ","0","3","131","0","1979","2014"
